[LAST,FIRST NFL POS,BYE]
49ers,San Francisco SFO Def,8
Abbrederis,Jared GBP WR,9
Adams,Davante GBP WR,9
Adams,Joe HOU WR,10
Adams,Kyle FA TE,0
Ajirotutu,Seyi SDC WR,10
Akers,David FA PK,0
Alexander,Alvester PIT RB,12
Alexander,Danario FA WR,0
Allen,Anthony FA RB,0
Allen,Dwayne IND TE,10
Allen,Keenan SDC WR,10
Amaro,Jace NYJ TE,11
Amendola,Danny NEP WR,10
Anderson,CJ DEN RB,4
Anderson,Derek CAR QB,12
Anderson,Joe FA WR,0
Anderson,Rory FA TE,0
Andrews,Antonio TEN RB,9
Annen,Blake PHI TE,7
Archer,Dri PIT RB,12
Armstrong,Anthony CLE WR,4
Asiata,Matt MIN RB,10
Atkinson,George OAK RB,5
Ausberry,David OAK TE,5
Austin,Miles CLE WR,4
Austin,Tavon STL WR,4
Avant,Jason CAR WR,12
Avery,Donnie KCC WR,6
Ayers,Akeem TEN LB,9
Bailey,Dan DAL PK,11
Bailey,Patrick TEN LB,9
Bailey,Stedman STL WR,4
Bajema,Billy FA TE,0
Baker,Edwin CLE RB,4
Baldwin,Doug SEA WR,4
Baldwin,Jon FA WR,0
Ball,Montee DEN RB,4
Ballard,Jake FA TE,0
Ballard,Vick IND RB,10
Banyard,Joe MIN RB,10
Barden,Ramses JAC WR,11
Barkley,Matt PHI QB,7
Barner,Kenjon PHI RB,7
Barnidge,Gary CLE TE,4
Barth,Connor TBB PK,7
Bates,Phil SEA WR,4
Battle,Jackie TEN RB,9
Bears,Chicago CHI Def,9
Beasley,Cole DAL WR,11
Beckham,Odell NYG WR,8
Bell,Joique DET RB,9
Bell,Kahlil FA RB,0
Bell,LeVeon PIT RB,12
Bellamy,Josh CHI WR,9
Benford,Tim DAL WR,11
Bengals,Cincinnati CIN Def,4
Benjamin,Kelvin CAR WR,12
Benjamin,Travis CLE WR,4
Benn,Arrelious PHI WR,7
Bennett,Earl FA WR,0
Bennett,Martellus CHI TE,9
Bernard,Giovani CIN RB,4
Bersin,Brenton CAR WR,12
Bess,Davone FA WR,0
Bibbs,Kapri DEN RB,4
Bills,Buffalo BUF Def,9
Binns,Armon MIA WR,5
Bironas,Rob FA PK,0
Blackmon,Justin JAC WR,11
Blanchflower,Rob PIT TE,12
Blount,LeGarrette PIT RB,12
Blue,Alfred HOU RB,10
Bogotay,Brandon FA PK,0
Bohanon,Tommy NYJ RB,11
Bolden,Brandon NEP RB,10
Boldewijn,Geraldo ATL WR,9
Boldin,Anquan SFO WR,8
Bolser,Ted WAS TE,10
Bonani,Maikon TEN PK,9
Bonani,Maikon TEN PK,9
Bonner,Alan HOU WR,10
Boone,Kadron PHI WR,7
Bortles,Blake JAC QB,11
Bostick,Brandon GBP TE,9
Boswell,Chris HOU PK,10
Bowe,Dwayne KCC WR,6
Boyce,Josh NEP WR,10
Boyd,Chris DAL WR,11
Boyd,Tajh NYJ QB,11
Boykin,Jarrett GBP WR,9
Bradford,Sam STL QB,4
Bradshaw,Ahmad IND RB,10
Brady,Tom NEP QB,10
Bray,Tyler KCC QB,6
Brazill,LaVon FA WR,0
Breaston,Steve FA WR,0
Brees,Drew NOS QB,6
Bridgewater,Teddy MIN QB,10
Britt,Kenny STL WR,4
Brockel,Richie CAR TE,12
Broncos,Denver DEN Def,4
Brown,Andre FA RB,0
Brown,Antonio PIT WR,12
Brown,Bryce BUF RB,9
Brown,Donald SDC RB,10
Brown,Jaron ARI WR,4
Brown,John ARI WR,4
Brown,Josh NYG PK,8
Brown,Justin PIT WR,12
Brown,Marlon BAL WR,11
Brown,Mike JAC WR,11
Brown,Ronnie HOU RB,10
Brown,Vincent SDC WR,10
Brown,Zach TEN LB,9
Browns,Cleveland CLE Def,4
Broyles,Ryan DET WR,9
Bryant,Dez DAL WR,11
Bryant,Martavis PIT WR,12
Bryant,Matt ATL PK,9
Buccaneers,Tampa Bay TBB Def,7
Bullock,Randy HOU PK,10
Bumphis,Chad JAC WR,11
Burkhead,Rex CIN RB,4
Burleson,Nate CLE WR,4
Burress,Plaxico FA WR,0
Burse,Isaiah DEN WR,4
Burton,Stephen FA WR,0
Burton,Trey PHI TE,7
Bush,Michael FA RB,0
Bush,Reggie DET RB,9
Butler,Brice OAK WR,5
Butler,Deon FA WR,0
Butler,Jeremy BAL WR,11
Byham,Nate FA TE,0
Byrd,LaRon DAL WR,11
Byrne,Jake SDC TE,10
Cadet,Travaris NOS RB,6
Caldwell,Andre DEN WR,4
Cameron,Jordan CLE TE,4
Campanaro,Michael BAL WR,11
Campbell,Jason CIN QB,4
Campbell,Michael NYJ WR,11
Campbell,Tommie TEN CB,9
Cardinals,Arizona ARI Def,4
Carey,KaDeem CHI RB,9
Carlson,John ARI TE,4
Carpenter,Dan BUF PK,9
Carr,Derek OAK QB,5
Carrier,Derek SFO TE,8
Carter,Delone FA RB,0
Carter,Willie FA RB,0
Casey,James PHI TE,7
Casey,Jurrell TEN DE,9
Cassel,Matt MIN QB,10
Catanzaro,Chandler ARI PK,4
Celek,Brent PHI TE,7
Celek,Garrett SFO TE,8
Chandler,Scott BUF TE,9
Chargers,San Diego SDC Def,10
Charles,Jamaal KCC RB,6
Charles,Orson CIN TE,4
Chiefs,Kansas City KCC Def,6
Childs,Greg FA WR,0
Choice,Tashard FA RB,0
Clark,Dallas FA TE,0
Clausen,Jimmy CHI QB,9
Clay,Brennan DEN RB,4
Clay,Charles MIA TE,5
Clemens,Kellen SDC QB,10
Clutts,Tyler DAL RB,11
Coale,Danny FA WR,0
Cobb,Randall GBP WR,9
Cobb,Terrance JAC RB,11
Coffman,Chase TEN TE,9
Coleman,Brandon NOS WR,6
Coleman,Derrick SEA RB,4
Collie,Austin FA WR,0
Collins,Jed DET RB,9
Colston,Marques NOS WR,6
Colter,Kain MIN WR,10
Colts,Indianapolis IND Def,10
Cone,Kevin MIA WR,5
Conner,John NYG RB,8
Cook,Jared STL TE,4
Cooks,Brandin NOS WR,6
Coons,Travis TEN PK,9
Coons,Travis TEN PK,9
Cooper,Josh MIN WR,10
Cooper,Riley PHI WR,7
Copeland,JC DAL RB,11
Cornett,Tim FA RB,0
Cotchery,Jerricho CAR WR,12
Cousins,Kirk WAS QB,10
Cowboys,Dallas DAL Def,11
Cox,Michael NYG RB,8
Crabtree,Michael SFO WR,8
Crabtree,Tom FA TE,0
Cribbs,Josh FA WR,0
Criner,Juron OAK WR,5
Crosby,Mason GBP PK,9
Crowell,Isaiah CLE RB,4
Cruz,Victor NYG WR,8
Cumberland,Jeff NYJ TE,11
Cundiff,Billy CLE PK,4
Cunningham,BJ PHI WR,7
Cunningham,Benny STL RB,4
Cunningham,Justice STL TE,4
Cutler,Jay CHI QB,9
Dalton,Andy CIN QB,4
Daniel,Chase KCC QB,6
Daniels,BJ SEA QB,4
Daniels,Owen BAL TE,11
Davis,Austin STL QB,4
Davis,Dominique FA QB,0
Davis,Drew ATL WR,9
Davis,Fred FA TE,0
Davis,Kellen NYG TE,8
Davis,Knile KCC RB,6
Davis,Marcus FA WR,0
Davis,Mike OAK WR,5
Davis,Vernon SFO TE,8
Dawson,Phil SFO PK,8
Dawson,Skye TBB WR,7
DePalma,Dan FA WR,0
Decker,Eric NYJ WR,11
Demps,Jeff TBB RB,7
Develin,James NEP RB,10
Devlin,Pat FA QB,0
DiMarco,Patrick ATL RB,9
Dickerson,Dorin FA TE,0
Dickson,Ed CAR TE,12
Dimke,Derek NOS PK,6
Dixon,Anthony BUF RB,9
Dixon,Chase FA TE,0
Dixon,Dennis BUF QB,9
Dobson,Aaron NEP WR,10
Dolphins,Miami MIA Def,5
Donnell,Larry NYG TE,8
Dorsey,Kevin GBP WR,9
Doss,Tandon JAC WR,11
Douglas,Harry ATL WR,9
Doyle,Jack IND TE,10
Draughn,Shaun CHI RB,9
Dray,Jim CLE TE,4
Dreessen,Joel FA TE,0
Dressler,Weston KCC WR,6
Dunbar,Lance DAL RB,11
Durham,Kris DET WR,9
Dwyer,Jonathan ARI RB,4
Dysert,Zac DEN QB,4
Eagles,Philadelphia PHI Def,7
Easley,Marcus BUF WR,9
Ebert,Jeremy ATL WR,9
Ebron,Eric DET TE,9
Edelman,Julian NEP WR,10
Edwards,Armanti CHI WR,9
Edwards,Lavar TEN LB,9
Edwards,Patrick DET WR,9
Egnew,Michael MIA TE,5
Eifert,Tyler CIN TE,4
Ellington,Andre ARI RB,4
Ellington,Bruce SFO WR,8
Elliott,Kevin FA WR,0
Ellison,Rhett MIN TE,10
Enunwa,Quincy NYJ WR,11
Ertz,Zach PHI TE,7
Escobar,Gavin DAL TE,11
Evans,Mike TBB WR,7
Evans,Shaq NYJ WR,11
Ewing,Bradie JAC RB,11
